composition,phases,HV,yield_strength_MPa,ref,source
Hf1Mo1Nb1Ta1Ti1,BCC,,1369.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Nb1Ti1Zr1,FCC+BCC,422.0,1509.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Fe1Mo0.5Ni1,FCC+BCC,623.7,1914.1,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Fe1Mo0.5Ni1Ti0.25,FCC+BCC,712.0,2161.7,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Fe1Mo0.5Ni1Ti0.4,FCC+BCC,731.9,2185.1,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Fe1Mo0.5Ni1Ti0.5,FCC+BCC,751.7,2228.7,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Fe1Mo0.5Ni1Ti0.6,FCC+BCC,756.1,1314.5,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Fe1Mo0.5Ni1Ti0.75,FCC+BCC,766.2,618.8,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Mo1Nb1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al1Hf1Nb1Ti1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al1Hf1Ta1Ti1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al1Mo1Nb1Ti1,BCC,509.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Nb1Ta1Ti1,BCC,458.0,,Kaggle-HEA-Dataset-2024,kaggle
Cr1Mo1Ta1Ti1,BCC,539.0,,Kaggle-HEA-Dataset-2024,kaggle
Cr1Nb1Ta1Ti1,BCC,495.0,,Kaggle-HEA-Dataset-2024,kaggle
Cr1Nb1Ti1W1,BCC,630.0,,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ta1Ti1,BCC,270.0,,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1Ti1W1,BCC,446.0,,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1Ti1,BCC,431.0,,Kaggle-HEA-Dataset-2024,kaggle
