composition,phases,HV,yield_strength_MPa,ref,source
Co1Cr1Fe1Mn1Ni1,FCC,176.0,208.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mn1Ni1,FCC,144.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mn1Ni1V0.25,FCC,151.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mn1Ni1V0.5,FCC,186.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mn1Ni1V0.75,FCC+BCC,342.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mn1Ni1V1,FCC+BCC,650.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.2Cr0.667Fe1Mn0.667Ni0.333,FCC+BCC,297.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.333Cr0.667Fe1Mn0.667Ni0.333,BCC,396.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Fe1Ni1,FCC+BCC,472.0,1406.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Fe1Mo1Ni1,FCC+BCC,905.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Fe1Mo0.2Ni1,FCC+BCC,549.0,1487.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Fe1Mo0.5Ni1,FCC+BCC,622.0,1749.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Fe1Mo0.8Ni1,FCC+BCC,854.0,1513.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu0.5Fe1Ni1,FCC,172.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu1Fe1Ni1Ti1,FCC,,1272.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu1Fe1Ni1Ti0.5,FCC,,700.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu1Fe1Ni1Ti0.8,FCC+BCC,,1042.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.5B0.2Co1Cr1Cu1Fe1Ni1,FCC+BCC,415.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5B0.6Co1Cr1Cu1Fe1Ni1,FCC+BCC,505.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5B1Co1Cr1Cu1Fe1Ni1,FCC+BCC,736.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1,FCC+BCC,300.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1,FCC,225.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1Ti1,FCC+BCC,636.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1Ti0.2,FCC,272.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1Ti0.4,FCC,321.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1Ti0.6,FCC+BCC,458.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1Ti0.8,FCC+BCC,590.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.417Co0.833Cr0.833Cu0.833Fe0.833Ni0.833Ti1,FCC+BCC,646.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.357Co0.714Cr0.714Cu0.714Fe0.714Ni0.714Ti1,FCC+BCC,664.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.312Co0.625Cr0.625Cu0.625Fe0.625Ni0.625Ti1,FCC+BCC,657.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.278Co0.556Cr0.556Cu0.556Fe0.556Ni0.556Ti1,FCC+BCC,667.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.25Co0.5Cr0.5Cu0.5Fe0.5Ni0.5Ti1,FCC+BCC,696.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1,FCC,215.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1V0.2,FCC,204.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1V0.4,FCC+BCC,231.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1V0.6,FCC+BCC,328.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1V0.8,FCC+BCC,447.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Cu1Fe1Ni1V1,FCC+BCC,639.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.417Co0.833Cr0.833Cu0.833Fe0.833Ni0.833V1,BCC,579.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.357Co0.714Cr0.714Cu0.714Fe0.714Ni0.714V1,BCC,577.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.312Co0.625Cr0.625Cu0.625Fe0.625Ni0.625V1,BCC,594.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.278Co0.556Cr0.556Cu0.556Fe0.556Ni0.556V1,BCC,597.0,,Kaggle-HEA-Dataset-2024,kaggle
